gene_name,transcript_id
AQP4,ENST00000383168.9
AQP5,ENST00000293599.7
AQP6,ENST00000315520.10
AQP7,ENST00000297988.6
AQP8,ENST00000219660.6
AQP9,ENST00000219919.9
AQR,ENST00000156471.10
AR,ENST00000374690.9
ARAF,ENST00000377045.9
ARAP1,ENST00000393609.8
ARAP2,ENST00000303965.9
ARAP3,ENST00000239440.9
ARC,ENST00000356613.4
ARCN1,ENST00000264028.5
AREG,ENST00000395748.8
AREL1,ENST00000356357.9
ARF1,ENST00000272102.10
ARF3,ENST00000256682.9
ARF4,ENST00000303436.11
ARF5,ENST00000000233.10
ARF6,ENST00000298316.7
ARFGAP1,ENST00000370283.9
ARFGAP2,ENST00000524782.6
